un_stem list,total numbers
['anarchic comedy'],10
['skeleton'],10
['undercover cop'],10
['planet'],10
['little boy'],10
['knife'],10
['interrogation'],10
['high school student'],10
['disappearance'],10
['catholicism'],10
['philosophy'],10
['secret society'],10
['justice'],10
['therapist'],10
['pregnancy and birth'],10
"['corporation', 'corporate']",10
['lover (female)'],10
['pop star'],10
['russian'],10
['demonic possession'],10
['survivor'],10
['pornography'],10
['homeless person'],10
"['nun', 'nuns']",10
['combat'],10
"['university', 'universe']",10
"['middle ages', 'middle age']",10
['murder hunt'],10
['beautiful woman'],10
"['colony', 'colonialism']",10
['death penalty'],10
['thailand'],10
"['addicted', 'addiction', 'addict']",10
['venice'],10
['wish'],10
['elves'],10
['bollywood'],10
['lion'],10
['wealth'],10
"['liberation', 'liberal']",10
['vietnam veteran'],10
['rock and roll'],10
"['presidential election', 'presidential elections']",10
['teen comedy'],10
['middle east'],10
"['hitchhiker', 'hitchhike']",10
['killing'],10
['sadism'],10
"['sex addict', 'sex addiction']",10
['life and death'],10
['anthropomorphism'],10
['car journey'],10
['epic'],10
['artist'],10
"['actor', 'actors']",10
['film producer'],10
['duel'],10
['brothel'],10
"['drinking', 'drink']",10
['supermarket'],10
['telepathy'],9
['relationship problems'],9
['loss of child'],9
['hypnosis'],9
"['sailing', 'sail']",9
['penguin'],9
['lesbian relationship'],9
['law'],9
['cuba'],9
['escapade'],9
['passion'],9
['terminal illness'],9
['loss of son'],9
['destiny'],9
['stop motion'],9
['rifle'],9
['south africa'],9
['flying saucer'],9
['son'],9
['dna'],9
['parallel world'],9
['trial'],9
['vietnam war'],9
['amusement park'],9
['aids'],9
['space mission'],9
['boat'],9
['african american'],9
['end of the world'],9
['based on graphic novel'],9
['trainer'],9
['nuclear missile'],9
['fictional place'],9
['thanksgiving'],9
['self-discovery'],9
['muslim'],9
['stranded'],9
['vandalism'],9
['high school sports'],9
['step father'],9
['scuba diving'],9
['germany'],9
['miami'],9
['time'],9
['truck'],9
['unsimulated sex'],9
['cemetery'],9
['journey'],9
['puberty'],9
['orphanage'],9
['film director'],9
['power outage'],9
['sabotage'],9
['black magic'],9
['man vs machine'],9
['love letter'],9
['mother role'],9
"['flood', 'flooding']",9
['ancient world'],9
['sword fight'],9
['courtroom'],9
['mumblegore'],9
['desperation'],9
"['songs', 'song']",9
"['hijacking', 'hijack']",9
['anthology'],9
"['destroy', 'destroyer']",9
['futuristic'],9
['mumblecore'],9
['japanese'],9
['gas station'],9
['multiple storylines'],9
['killer robot'],9
['maid'],9
['movie star'],9
['planned murder'],9
['king'],9
['loser'],9
"['officer', 'office']",9
['camcorder'],9
"['sadistic', 'sadist']",9
['history'],9
['scandal'],9
['decapitation'],9
['missing person'],9
['period drama'],9
['schizophrenia'],9
['santa claus'],9
['steampunk'],9
['ancient rome'],9
['con man'],9
['literature'],9
"['cheerleader', 'cheerleading']",9
['manipulation'],9
['ireland'],9
"['angel', 'angels']",9
['company'],9
"['drug smuggle', 'drug smuggling']",9
['suspicion'],9
['women'],9
['psychic'],9
['slaughter'],9
['suppressed past'],8
"['bird', 'birding']",8
['shyness'],8
['homicide'],8
['fish out of water'],8
['genetics'],8
['voodoo'],8
['debt'],8
['sitting on a toilet'],8
['sexual obsession'],8
['arranged marriage'],8
['ax'],8
['morgue'],8
"['orcs', 'orc']",8
['rock'],8
['guilt'],8
['growing up'],8
['wizard'],8
['stone age'],8
['storm'],8
"['illegal drugs', 'illegal drug']",8
['humiliation'],8
['evacuation'],8
['undead'],8
['mephisto'],8
['satellite'],8
['skyscraper'],8
['autism'],8
['theatre milieu'],8
['telekinesis'],8
['american abroad'],8
['tv station'],8
"['art', 'arts']",8
['dancer'],8
['masturbation'],8
['falsely accused'],8
['honeymoon'],8
['internet'],8
['human animal relationship'],8
['country music'],8
['crocodile'],8
['genius'],8
['action hero'],8
['ghetto'],8
['shark attack'],8
['post traumatic stress  disorder'],8
"['mythology', 'mythological']",8
['twin brother'],8
['trauma'],8
['gay relationship'],8
['child hero'],8
['dolphin'],8
['ufo'],8
['moscow'],8
['business'],8
['taxi driver'],8
['american'],8
['captain'],8
['underwater'],8
['grieving'],8
"['pet', 'pets']",8
['soul'],8
"['popularity', 'popular']",8
['man-woman relation'],8
['pregnant'],8
['loss of parents'],8
['mouse'],8
"['confidence', 'confidant']",8
['highway'],8
['pig'],8
['jazz'],8
['food'],8
['convict'],8
['himalaya'],8
['bank robber'],8
['nazi germany'],8
"[""new year's eve""]",8
['cataclysm'],8
['singing'],8
['massacre'],8
['fame'],8
['grief'],8
['very little dialogue'],8
"['horse race', 'horse racing']",8
"[""family's daily life""]",8
['auto'],8
['poetry'],8
['star'],8
['anger'],8
['adolescence'],8
['punk'],8
['shower'],8
"['patriotism', 'patriot']",8
"['blindness', 'blind']",8
['u.s. navy'],8
['hong kong'],8
"['protest', 'protestant']",8
['jesus christ'],8
"['whale', 'whaling']",8
['confession'],8
['ninja'],8
['devil'],8
['comedian'],8
['legend'],8
['pastor'],8
['prom'],8
['ambulance'],8
"['running', 'run']",8
['airplane crash'],8
['existentialism'],8
['monk'],8
['execution'],8
['superhuman strength'],8
['witness'],8
"['vomit', 'vomiting']",8
['sociopath'],8
['ballet'],8
['cult'],8
['accident'],8
['new mexico'],8
['ambition'],8
['1940s'],8
['cigarette smoking'],8
['slacker'],8
['laxative'],8
['computer virus'],8
['factory'],8
['past'],8
"['spider', 'spiders']",8
['snake'],8
"['satanic', 'satan', 'satanism']",8
['1930s'],8
"['manager', 'management']",8
"['woods', 'wood']",8
['music band'],8
['chainsaw'],8
['asylum'],8
['oscar award'],8
['smuggling'],8
['heavy metal'],8
['superhuman'],8
['canuxploitation'],7
['bet'],7
['caribbean'],7
['soulmates'],7
['gangster boss'],7
['fashion'],7
['f word'],7
['opposites attract'],7
['silent film'],7
['stalking'],7
['attempt to escape'],7
['self-defense'],7
['laboratory'],7
['jail'],7
['homophobia'],7
"['parent', 'parents', 'parenting']",7
['surgeon'],7
['female corpse'],7
['peasant'],7
['american football player'],7
['soviet union'],7
['buddy cop'],7
['blonde'],7
['turtle'],7
"['innocence', 'innocent']",7
['mississippi'],7
['bikini'],7
['rebellion'],7
['from rags to riches'],7
['servant'],7
['country house'],7
['private detective'],7
['catholic'],7
"['tree', 'trees']",7
['live action and animation'],7
"['manhattan, new york city']",7
['gang war'],7
['hippie'],7
['aging'],7
['invention'],7
['climbing'],7
"['fiancée', 'fiancé']",7
['costume'],7
['mind control'],7
"['infection', 'infected']",7
['trust'],7
['wall street'],7
['memory loss'],7
['yacht'],7
['bahamas'],7
['quarantine'],7
['classroom'],7
['farewell'],7
['american civil war'],7
['stranger'],7
['guitar'],7
['workaholic'],7
['hostage-taking'],7
['mystery'],7
['movie in movie'],7
['teenage sexuality'],7
['barn'],7
['basement'],7
['dictator'],7
['doppelganger'],7
['fate'],7
['heart attack'],7
['paranormal'],7
['meteor'],7
['disabled'],7
['coffin'],7
['prayer'],7
['christmas tree'],7
['vororte'],7
['egg'],7
['tragedy'],7
"['skateboard', 'skateboarding']",7
['number in title'],7
"['witch hunt', 'witch hunter']",7
['escape from prison'],7
['sports team'],7
['loyalty'],7
['apartheid'],7
['first time'],7
['loss'],7
['cavemen'],7
['stoner'],7
['garage'],7
['medicine'],7
['afghanistan'],7
['athlete'],7
['mentally disabled'],7
['gay interest'],7
['job interview'],7
['mental illness'],7
['iraq war'],7
['pop'],7
['best friends in love'],7
"['double cross', 'double crossed']",7
['resurrection'],7
['reunion'],7
['masked killer'],7
['drug use'],7
['ex-girlfriend'],7
['elderly'],7
['plantation'],7
"['ski', 'skiing']",7
['unrequited love'],7
['hidden camera'],7
['father-in-law'],7
['horseback riding'],7
['dishonesty'],7
['family conflict'],7
['poker'],7
['underground'],7
"['clowning', 'clown']",7
['pedophilia'],7
['architect'],7
['dracula'],7
['young boy'],7
['twins'],7
['snow storm'],7
['lone wolf'],7
['death of father'],7
['submachine gun'],7
['drunk'],7
['navy seal'],7
['war veteran'],7
['truth'],7
['kids'],7
['fortune teller'],7
['burglar'],7
['natural disaster'],7
['hope'],7
['tattoo'],7
['assault'],7
"['whip', 'whipping']",7
['mirror'],7
['mermaid'],7
['star crossed lovers'],7
['giant robot'],7
['class differences'],7
['talent'],7
['firemen'],7
['automobile racing'],7
['kitchen'],7
['circus'],7
['gotham city'],7
"['mine', 'mining']",7
['archeology\xa0'],7
['nerd'],7
['reboot'],7
['affection'],7
['map'],7
['volcano'],7
['matter of life and death'],7
['alien planet'],7
['single father'],7
['unlikely friendship'],7
['mars'],7
['drowning'],7
['cutting the cord'],7
['adult animation'],7
['interspecies romance'],7
['battlefield'],7
['18th century'],7
['machinegun'],7
['zombie apocalypse'],7
['asteroid'],7
['tank'],7
"['insurgence', 'insurgent']",7
['child prodigy'],7
['girlfriend'],7
['frog'],7
['rome'],7
['surfer'],6
['breaking the fourth wall'],6
['montana'],6
['shot to death'],6
['ape'],6
['work'],6
['maze'],6
['mafia boss'],6
['wrestling'],6
['alcohol abuse'],6
['safe'],6
['rescue mission'],6
['documentary'],6
['nature'],6
['solar eclipse'],6
['social outcast'],6
['arson'],6
['owl'],6
['space battle'],6
['insomnia'],6
['radio presenter'],6
['hustler'],6
['idol'],6
['paranormal phenomena'],6
['tournament'],6
['chosen one'],6
['independence'],6
['teachers and students'],6
['stuntman'],6
"['emigration', 'emigrant']",6
['violence in schools'],6
['xenomorph'],6
['boyfriend'],6
['pennsylvania'],6
"['police state', 'police station']",6
['miracle'],6
['greece'],6
['teenage hero'],6
['policeman'],6
['patient'],6
['light'],6
['steel helmet'],6
['rooftop'],6
['slapstick'],6
['scam'],6
['disaster movie'],6
['spain'],6
['karate'],6
['grandfather grandson relationship'],6
['election campaign'],6
['claustrophobia'],6
['panic'],6
['deaf-mute'],6
['premonition'],6
['private school'],6
['pool'],6
['concentration camp'],6
"['medical', 'medication']",6
"['beheading', 'beheaded']",6
['transport of prisoners'],6
['father figure'],6
['dwarves'],6
['bridesmaid'],6
['no opening credits'],6
['childhood trauma'],6
['roman empire'],6
['to shoot dead'],6
['video'],6
['radio station'],6
['mental institution'],6
['prison cell'],6
['fraternity'],6
['domestic violence'],6
['disguise'],6
['cairo'],6
['police corruption'],6
['police detective'],6
['despair'],6
['education'],6
['tunnel'],6
['family feud'],6
['christmas eve'],6
['sex comedy'],6
['ancient greece'],6
['childhood memory'],6
['intolerance'],6
['flower'],6
['hell'],6
['wizardry'],6
['broom'],6
['cow'],6
['feral child'],6
['femme fatale'],6
['candlelight vigil'],6
['fairy-tale figure'],6
"['boxing', 'box']",6
['ex-con'],6
['playboy'],6
['arena'],6
['near future'],6
['madness'],6
['arbitrary law'],6
['painter'],6
['screenwriter'],6
['dream sequence'],6
['commercial'],6
"['motorcycle gang', 'motorcycle gangs']",6
['time machine'],6
['rapper'],6
['atheist'],6
['school bus'],6
['suitor'],6
['fisherman'],6
['mutiny'],6
['loss of wife'],6
['gun violence'],6
['mathematics'],6
['kgb'],6
['piano'],6
['unhappiness'],6
['chimp'],6
"['scream', 'screaming']",6
['insane asylum'],6
"['smoking', 'smoke']",6
['chases and races'],6
['ice hockey'],6
['partnership'],6
['cabin'],6
"[""based on children's book""]",6
['dentist'],6
['older man younger woman relationship'],6
['economics'],6
['beating'],6
['galaxy'],6
['violent husband'],6
['marine corps'],6
['radio transmission'],6
['prank'],6
['junkie'],6
['warrior'],6
['sun glasses'],6
['interracial relationship'],6
['fighter'],6
['film noir'],6
['u.s. soldier'],6
['cigar smoking'],6
"['lasers', 'laser']",6
['one night'],6
"['superpower', 'superpowers']",6
['liberation of prisoners'],6
['language barrier'],6
['maniac'],6
['doomsday'],6
['assistant'],6
['comic book'],6
